full_text,sentiment
@ganjarpranowo Keterlibatan Pak Ganjar dalam kunjungan ke Katedral Bogor menunjukkan sikap inklusif dan toleran terhadap perbedaan agama menciptakan suasana saling penghargaan antara pemerintah dan tokoh agama.,positif
@tvOneNews Ini baru pasangan favoritku pak Prabowo dan mas Gibran,positif
Gibran lebih parah cok debat capres mah cuma kritik kinerja dan nilai kinerja owo doang.,netral
@strike_bravo_b Bulikku pendukung Cak Imin lihat Gibran gak sopan dan kemlinthi ke Mahfud terus ; Ngomonge ngunu banget yo? Koyok gak nduwe toto kromo ora sopan blas. IT'S OVER.,netral
@davidfong_ Pendukung nya Prabowo GK malu ya bilang etika Mulu padahal paslonnya aja melanggar etika,netral
@anneserlo Ganjar menang,positif
HOTLINE PENGACARA GRATIS (HOTLINE PARIS) Bantuan pengacara gratis (PARIS) untuk kasus pidana dan perdata melalui Hotline 24 Jam. Ayo Lebih Baik! Bersama Anies Baswedan dan Muhaimin Iskandar. Bersama #PKSmenangAMIN PilihPKS CoblosAMIN @PKSejahtera @syaikhu_ahmad https://t.co/G9JEc3Iwxa,positif
@ganjarpranowo Bener banget pak bahagia sekali BS berkumpul sambil bercanda apa lagi ngobrol bareng pak Ganjar ,negatif
@CNNIndonesia lah mw di samperin ama anies malah udah kabur duluan ,netral
@dhiendaln Inget bngt Anies kasih poin 11/100 Karena Prabowo bilang kalo Anies Gak pantes ngomong Etik sangat tidak sopan,netral
@_Cheesetea_ @ruthnats Ya rakyat sih g melihat begitu.. krn scra umum anies ckp dekat sampe tb2 diputus,netral
@Fahmi_Ismail87 Alhamdulillah.. hihi,positif
Ganjar-Mahfud ingin membangun fondasi yang kokoh bagi pertumbuhan ekonomi jangka panjang dengan menciptakan aturan yang baik. @senwahh_h Juara ! Sat Set https://t.co/a1hYLvZDXB,positif
@VIVAcoid Ga respek sama sekali ke no 2 lebih baik dukung nomor 1 deh. Kalau tidak berhasil ada Ganjar yang pantas dipilih https://t.co/piGNRq6jfL,netral
@OliviaCath1540 Ya emang harus diakui Prabowo memiliki kesabaran yg sangat tinggi...diruang debat !!! Abis tu diluar debat mulutnya gak karuan melebihi mulut anak kecil yg sedang merengek minta permen ,negatif
@TxtdariHI @ganjarpranowo @aniesbaswedan @prabowo Mau sampai akhir pun tetep Ganjar nomor 1 di hati masyarakat #GanjarMahfudM3nangDebat,netral
Dalam Ganjar-Mahfud rakyat melihat pemimpin yang tidak hanya berkomitmen pada keberlanjutan tetapi juga pada keadilan sosial. @woohohojjang Hebat ! Sat Set https://t.co/HAVJPdOEJ9,positif
@joko_maryadi @DedynurPalakka @ganjarpranowo @mohmahfudmd @aniesbaswedan @cakimiNOW @prabowo @gibran_tweet Koalisi lemah...,netral
@detikcom Sudah tinggal pelantikan saja Anies Muhaimin .,positif
@ganjarpranowo Bismillah Ganjar Mahfud yang akan memimpin Indonesia,positif
@_chich23 @tesfaying @neohistoria_id Klo sepengamatanku ini strategi anis sih dia ngeliat debat sebelumnya pak prab suka kepancing emosi. Jadi memang keknya sedari awal pak anis sudah niat untuk agresif utamanya juga untuk menghindari kejadian di gibran dan muhaimin,netral
@Generasi_MudaNU @gibran_tweet Baru kalini yg akun yg mengats namakan NU ngasal posting... Yg bikin perpecahan,netral
@Gus_Raharjo semoga keluarga pak ganjar ini selalu dilindungi mereka ga da prestasi sehingga mengusik keluarga orang lain cari celahnya doang,positif
@Chavesz08 Jurus andalannya setelah kalah debat 02 minim gagasan alias kosong fix rakyat Indonesia akan coblos Anis Muhaimin,netral
Gibran Pongah Ditanya Strategi Infrastruktur Sosial Gibran: Makan Siang Gratis Apapun pertanyaan nya... Jawaban nya Makan Siang Gratis Calon Wakil Presiden Mahfud MD dan Muhaimin Iskandar mengatakan Gibran Rakabuming tidak menjawab pertanyaan pada sesi pertanyaan https://t.co/hs66FK0QQK,netral
@rizooolll Insya Allah Anies Muhaimin menang satu putaran,netral
@abu_waras Klo salah satu dari dia yg ada difoto tumbnag diputaran pertama... Maka jelas prabowo bakal jadi CALON PRESIDEN ABADI.... AAMMIINNN.... Buktikan prediksi saya. Golput tetap yg terbaik ,netral
@Epand52 Lu nya aja goblok. Nalar lu blm nyampe cil Gue yg saat ini dukung Anies aja paham maksud si samsul itu. Analogi dengan kebun bintanag bukan berarti lu jdi bintanag beneran dongo https://t.co/J5HUaAhMg9,netral
@ganjarpranowo semoga ganjar mahfud menang demi Indonesia sejahtera,positif
@VIVAcoid Akronim SGIE ada lebih dari 1. ChatGPT saja beda mengartikan sbgm yg dimaksud cawapres @gibran_tweet Pertanyaannya tdk sulit juga nyatanya bisa dijawab dg sangat baik oleh Gus Muhaimin @cakimiNOW https://t.co/ZtRrTMUEbs,netral
@m4agss @scsanjaya @rissech1 @gibran_tweet lah emg fitnah. https://t.co/rolJcJOOfw,netral
@elchanatmadja @David_Wijaya03 @03__nakula @__AnakKolong @nety_rusi @Anak__Ogi @GantineRamane @Ganjar_Mahfud03 @ex_AnakLolina @EviDrajat @chicohakim @Miduk17 @prabowo @Gerindra @psi_id @grace_nat @IsyanaBagoesOka @Uki23 @CherylTanzil @Fahrihamzah Panic ya.. capresnya dirujak terus playing victim awokwokwokwok ,netral
@ganjarpranowo Pa Ganjar emang sosok capres yang the best sih Poko nya di antara pasangan capres yang lain,positif
ganjarpranowo mengungkapkan makna dari kumpul yang artinya bersatu. Ada kehangat - @ganjarpranowo @mohmahfudmd #GanjarMahfud2024 #GPMMDSATSET #GanjarMahfudNews https://t.co/gOOx6CkOr8,netral
@ekowboy2 Anies-Muhaimin pilihan cerdas untuk masa depan Indonesia yang lebih cerah. https://t.co/KVo4EYtzSI,positif
@renandabachtar Playing victim tidak ada pernah anies menjanjikan AHY menjadi wapres anda dan partai anda yang ngotot banget ingin jadi wapres kan sudah sepakat yg memilih wapres itu pak anis dan kesepakatan bersama kalian demokrat memaksa untuk deklarasi cepat atau tdk mengancam keluar koalisi,positif
@are_inismyname @zarryhendrik @seeksixsuck @kurawa @P4P4B0W0_2024 @99propaganda @Ndons_Back @Bank_Joee_ @BANGSAygSUJUD @florieliciouss @Kimberley_2024 Padahal data ttg lahan sudah diomongin jkw kalian diam giliran pak anies yg bilang kalian marah,positif
@Anaksemut4 @dLisa01 @fais21804461 Statemen nya jangan dibuat sendiri pak ini statemen anda beda sama statemen Pak Prabowo waktu di acara Mbak Najwa,netral
@FiNfie777 @Fr4nst @zy_zy_its_me Menyatakan sesuatu yg fakta bukanlah kebencian Brader. Kebencian itu kalau menyangkal Fakta seperti pengkhianatan Ganjar kepada Jokowi bahkan sekarang latah mencela nya tetapi selalu kalian bela dan sangkal. Itulah fakta kebencian kalian pada Pak Jokowi.,netral
Pilih Anies dan Pak Muhaimin.. Ayo Amiinkan ajha dulu #AMINAjaDulu #AniesUnggul #PakaiOtakPakaiHati @aniesbaswedan @cakimiNOW https://t.co/mCtGvRHbFB,netral
@G_VanyJKT48 @lightnue_ @enthusiasxt @Arie_Kriting saya ga milih anies bkn karena itu,negatif
@CNNIndonesia Saya pendukung Pa Anies .. kita harus akuin memang betul pertanyaannya 02 itu dangkal .. masalahnya yang dangkal itu tdk bs di jawab dengan baik .. semunya level mahasiswanya Pa Anies sampe Prof Mahfud pun ikut2an .. @aniesbaswedan @ganjarpranowo @mohmahfudmd @cakimiNOW,negatif
@deddysitorus Prasaan semua cawapres ada looo lae. Apa sadar kalo semalam gibran menang telak jadi nyerang ke hal yg ga guna gini ,netral
@okezonenews pak Ganjar Mahfud telah berkomitmen untuk melanjutkan pembangunan yg telah dilakukan presiden Jokowi! terutama pembangunan daerah 3T,positif
@Brigade01Arwan1 @aniesbaswedan Sehat selalu pak anis dan gus muhaimin... Maju terus.,positif
@ainunnajib Jelasin aja gini: bu kalo bukan pak Anies yg nanya siapa lagi? Emang ibu dan rakyat kecil lainnya berani singgung soal tanah Menhan dan kinerja dia yg ngutang terus? Itulah guna tokoh masyarakat penyambung lidah rakyat.,netral
Dalam kepemimpinan Ganjar-Mahfud inovasi akan menjadi pilar utama dalam menghadapi tantangan global dalam perdagangan. @vitaaacyy Juara ! Pasti Lebih Baik https://t.co/OUhiLHGneC,positif
@ZulkifliLubis69 @prabowo @gibran_tweet Balita ( bayi limapuluh tahun ),netral
@marwanFC @Paltiwest Jadi norak begitu gibran ,netral
@KangDenZam @kopfkinolibrary Minimal malu ga sih anies aja waktu debat baw Kasus yg udah2 buat menjatuhkan Prabowo Giliran Cawapres nya digituin ngamok hahahahahhhahhahhahhaha,netral
@tirta_cipeng Kekuatan diri dlm memahami keunggulan Anies-Muhaimin memang membutuhkan kemampuan kognisi kecerdasan dan kebiasaan baik dlm berpikir. Lhah rerata IQ Indonesia saja masih under 80 butuh power luar biasa untuk memahamkan mereka. Linieritas ini akan sirna dg bonus dari Tuhan YME.,netral
@cakimiNOW @kikysaputrii Roasting prabowo griban donnng @kikysaputrii ,netral
@MustBeeajah @YogyakartaCity @FirzaHusain @KutaFree @Ganjar_Mahfud03 @seruanhl @Eil_Thia @B1nt4ng_K1r4r4 @ch_chotimah2 @Manse_Mangat @caesar_emil Walkot sapa itu coba... awokawokawok,netral
@ganjarpranowo Sebagai kalangan perempuan muda jadi semakin semangat memenangkan pasangan Ganjar Mahfud,positif
Ganjar-Mahfud menawarkan solusi holistik yang melibatkan partisipasi aktif semua pihak untuk mencapai sistem perpajakan yang lebih baik. @sopayamenak1 Hebat ! Sat Set https://t.co/ZX0s6Xyjiy,positif
@detikcom Mas Gibran tampan rupawan,netral
Pihaknya menargetkan pada Pilpres 2024 pasangan Anies - Muhaimin bakal meraih 80 persen suara di Jawa Barat yang selama ini menjadi lumbung suara PKS. #PKSMenangAMIN #PKSJabar PilihPKS CoblosAMIN,positif
@Nikmatul_Sg Banteng Merah Pilihan ku .... Layaknya api yg membara semoga semangat kita terus membara bersama Ganjar Mahfud menuju indonesia unggul .... Menuju Indonesia emas 2024 ,positif
Anis Muhaimin Terdepan dan Terpercaya #AMINajaDulu #AniesUnggul #PakaiOtakPakaiHati https://t.co/oF1jhDAcaj,positif
Target 0% kemiskinan ekstrem oleh Ganjar-Mahfud patut diapresiasi @pptr02 VisiMisi GanjarMahfud https://t.co/9EGNurRjHi,netral
@jerrysujari @FaldoMaldini @gibran_tweet Diskripsi aslinya boss .. bukan ngomentari debatnya lebih focus ke kostumnya dg memarerkan samsul sebuah trend kebodohan dengan bangganya,netral
GIBRAN ANAK MAMI SURI | KONSTITUSI MATI SURI | Ironisnya kualitas bung @Fahrihamzah jauh jauh &amp; jauh lebih baik daripada anak haram konstitusi. Namun kelebihan Gibran si Anak Mami Suri yang sekaligus Anak Haram Konstitusi itu adalah ; 1. Gibran pengen menggenggam https://t.co/9dxEVwa0xR,netral
Ganjar-Mahfud mendorong partisipasi aktif masyarakat dalam mengawal pengelolaan keuangan negara. @Zd02519Dwi Hebat ! Pasti Lebih Baik https://t.co/uYo5ANJ2C3,positif
Anies bertemu Muhaimin sebelum menuju tempat debat pamungkas. https://t.co/dUutyTAxBk,netral
pagiii sheng @CErine_JKT48,netral
@tempodotco Setuju pak program makan gratis sangat membantu luar biasa pak prabowo,positif
Gw bisa punya prasangka macem-macem ke beliau tapi gestur seperti itu otomatis karena sudah jadi kepribadian. Gw membayangkan pak sby atau pak prabowo juga bisa gitu tapi dengan postur yang tetap tegap behave. Pak jokowi gesturnya ya kayak bapak-bapak biasa.,positif
@YUT4NC7 hahahahah mkmkmk ktnya pak anies yg ngebet sama gibran ternyata pak anies biasa biasa aja woeee mungkin dia tidak mau mmg mkmkmk,netral
@kba_news No 1 ANIES-MUHAIMIN pasti MENANG ,netral
@KompasTV Tepat bgt kata Prabowo sih Anies bicara etika spt orang kentut tp nuduh sampingnya....,negatif
Anies-Muhaimin menekankan pentingnya menjaga persatuan dan kesatuan bangsa serta mengedepankan dialog dan rekonsiliasi dalam menyelesaikan masalah HAM. Mereka juga menjanjikan pemberantasan korupsi dengan mendorong keterbukaan informasi publik dan penguatan lembaga penegak hukum,positif
@Dennysiregar7 Yaki kalau pak Ganjar dan pak Mahfud tidak dikuasai oleh partai? Apa belum mengerti juga apa yg kader partai lakukan selama ini untuk negara dan rakyat sebagai wakil yg di beri amanah?,negatif
@VIVAcoid Mengagumkan melihat Prabowo dan Gibran bersatu untuk menggarisbawahi pentingnya fasilitas kesehatan sebagai benteng pertahanan. Inisiatif ini mencerminkan kesadaran mendalam akan kesejahteraan masyarakat,netral
@tvOneNews Tolol dan Bodoh nya kerasa sampe sini udah jelas AMIN dan AAMIIN itu beda arti beda makna segitu takut nya ya Anies jadi presiden sampe hal sepele aja di permasalah kan ,netral
@kurawa Ngga ada perlawanan...gue pikir si mentri menguasai panggung ngga tahunya dibantai sama p. Anies dan Ganjar...awas asam urat kumat !! ,netral
@ajengcute16__ Yang pasti aku dan keluargaku pilih Anis dan Muhaimin No 1. https://t.co/YEd66RxL8O,netral
@Metro_TV Tetap mas gibran yang paling okedongg,netral
@GirlBieberJ @jokowi @ganjarpranowo @prabowo @gibran_tweet @Gerindra @golkar_id @Official_PAN @PDemokrat @Nduklala2 @kpgnj @assaff_koto Salam 1 Jari membawa kedamaian,netral
Capres dan Cawapres nomor urut 1 Anies Baswedan dan Muhaimin Iskandar bertemu di one three cafe sebelum berangkat menuju JCC Arena untuk Debat Capres ke 5. (Ard) #BeritaElshinta https://t.co/3C50Jcyo0R,netral
Keterampilan hukum Pak Mahfud akan menjadi payung hukum yang kuat bagi keberlanjutan investasi di era Ganjar-Mahfud. @vitovxv Top ! Pasti Lebih Baik https://t.co/s4Q29K6w1p,positif
KUMPULAN MOMEN ASIK GANJAR HADAPI ANIES &amp; PRABOWO DI DEBAT KETIGA RESPECT PAK KETUA PENGUIN @ganjarpranowo #GasssGanjarMahfud #GanjarMahfud2024 https://t.co/vD4eocUYm5,netral
Selamat pagi warga X-land gmn selesai nonton debat smlm ⏩masih deg an? ⏩Sesak nafas ? ⏩Jantungan? ⏩ikut kebawa emosi ? ⏩...... ANIES ROCKS DEBAT CAPRES #DebatCapres #Anies2ndStage #HwaitingAbahAnies https://t.co/ZEBaZbU4hW,positif
@Gus_Raharjo @ganjarpranowo @mohmahfudmd Semangat pantengi debat semangat kasih dukungan untuk pak ganjar #GanjarMahfud2024 #GanjarMahfudM3nangDebat,positif
@stumbfle @semestaa_alam @Gerindra @gibran_tweet engga nyambung blokk blokk,netral
@Dahnilanzar @jokowi @prabowo @gibran_tweet Nil Nil.... banguuun. Tidurmu terlalu miring..,netral
@GeiszChalifah Maksudnya gestur muka kayak gitu kenapa ya..,netral
@RepublicWakanda @elisa_jkt Prabowo aja ngiranya si gibran bahas ekonomi,netral
@kumparan bandung siap dukung ganjar mahfud ,netral
Ganjar-Mahfud menawarkan solusi konkret untuk menyederhanakan formulir dan prosedur pembayaran pajak bagi warga. @stztwice Juara ! Pasti Lebih Baik https://t.co/moNzxHlFsk,positif
 Kalau solid pasti yakin Pak Anies dan Pak Muhaimin menang 🇮🇩 #AniesMuhaimin2024 #AMINkanIndonesia https://t.co/kY3ZtM8rvH,positif
@voiceofpkb @aniesbaswedan Jawaban pak anies paling masuk akal #AMINUnggulDebatCapres #AMINUnggulDebatCapres,positif
@Chavesz08 Saya gak punya apa-apa mas Anies saya orang miskin mas Anies saya rela mati untuk bangsa ini saya tidak takut tidak punya jabatan mas anies,netral
@A4H74976106 @kumparan Di video awal yg pas pake baju ungu betina itu hanya sebut nama Pak Rosan dalam ceritanya mengenai masa jabatan Pak Prabowo kalo menjadi Presiden tapi di keterangan tertulisnya dia seret2 nama hasto kristiyanto buat penguat alibinya somplak nih betina,netral
Ganjar-Mahfud ingin mengubah stigma negatif terhadap pembayaran pajak menjadi tindakan yang positif dan patut dicontoh. @soonflows Top ! Pasti Lebih Baik https://t.co/lBUwQfqsvl,positif
@sukardiyahya162 Secara hukum sah baik di MK maupun di KPU tapi sudah ada keputusan MKMK dan DKPP bahwa prosesnya cacat etika keputusan pemberhentian jabatan sebagai Ketua MK dan yg satunya peringatan keras terakhir kpd Ketua KPU terkait etika pelolosan pendaftaran Gibran,netral
@SINDOnews Mantap pak ganjar,positif
Slepet-slepet dan omong kosong Muhaimin tak memberikan keyakinan bahwa ia bisa memimpin dengan bijak @BasskyyA #DebatCawapres | Selamat Hari Ibu | Pak Mahfud | Mas Gibran | Cak Imin | #DesakAnies https://t.co/VqPTzUI2dl,negatif
@Arie_Kriting pilihanku semakin mengerucut antara anies cak imin atau ganjar mahfud,positif
@bengkeldodo Dalam hal ini saya harus akui dan lebih setuju dengan Pendapatnya pak @prabowo karena masalah di Papua tidak bisa dilihat dari dalam saja. Untuk capres yg paling faham dgn Geopolitik di antara ketiga paslon sy akui pak Prabowo orangnya.,netral
@miawlay @kikysaputrii Yah presiden adalah wajah Bangsa di muka internasional. Dan gua pribadi gua yakin dan nggak malu wajah gua diwakili pak Anies.,positif
Pandangan Muhaimin Terkait Cara Tingkatkan Investasi Bicara Pentingnya Peran UMKM https://t.co/EOT43vlxWU,netral
@golkar_id @airlangga_hrt @gibran_tweet Mas Gibran dan Mas Kaesang sangat kompak hadiri di lomba senam gemoy,netral
i think with anies and ganjar who referenced their statements based on data didn't mean that they personally attack prabowo... tp ya emg lg pas pas an aja tema ny ttg pertahanan sdgkn prabowo msh menjabat sbg menhan. mau gmw yg di serang n di kritik otomatis kinerja dia dong ,netral
Ganjar-Mahfud menciptakan terobosan melalui regulasi yang mendukung pertumbuhan perdagangan berkelanjutan. @WAREHOUSE_ENCIT Top ! Sat Set https://t.co/zzDS25ia38,positif
@DedynurPalakka @AllanNairn14 @prabowo Ada partai senen bilang A selasa berubah jdi B aja jg udh aneh,netral
@MinmonPS7 Disaat gibran jawab ini anies geleng² kepala.. Mgkin beliau ga menyangka serangan personal dirinya k prabowo dibalas gibran k cak imin..,netral
Anies dan Muhaimin udah pake jas cocok buat presiden dan wakil presiden,positif
Pak anies op bgt bjirr belio yg ngomong gue yg deg-degan,netral
@langkahkaqi Semakin yakin pilih Anies-Muhaimin #AMIN,netral
@ganjarpranowo Pak Ganjar banyak yang sayang dan Dukung menang satu putaran ,netral
@fadlizon @prabowo @gibran_tweet Contoh cuitan yg membohongi kata hati,netral
@herman_basti @DrEvaChaniago @aniesbaswedan Musim Hujan Demam #AniesBaswedan dan #Muhaimin Amin aja dulu,netral
@KemenperinRI Sama adeknya tp perindo dukung ganjar knp dia gak gabung pan atau apalah partai yg tersandra itu,netral
@Kimberley_2024 Mempermasalahkan etika orang yang sangat menjaga etika oleh orang yang paling tidak beretika... Indonesia sudah tidak baik baik saja. Tetap stay pilih @prabowo menjadi #Prabowopreaidwn2024,netral
@Fall1916 @udi_hahay @Sintajuny2 @xandreanda @Mdy_Asmara1701 Playing victim semua anjirrr. Cape liatnya. Counternya lah kan anies dulu juga gitu kocak kocak,netral
Aslii ini seru banget sayang aja pak anies nanyanya ke 02 coba tanya ke 03 bisa jadi diskusi bagus itu keknya,netral
@mazzini_gsp @prabowo Ya kalau yang dibahas tentang kesuksesan masing-masing ya gak usah debat. Justru esensinya disitu program yang gagal dijalankan bisa di counter Paslon lain.,netral
Gus Muhaimin akan mengikuti Debat Kedua Cawapres 2024 yang diselenggarakan oleh KPU pada Jum'at 22 Desember 2023 pukul 19.00 WIB di Kantor KPU Jakarta. Tema debat kedua (Cawapres) yaitu tentang ekonomi #SlepetAjaGus #SlepetNomic #AniesMuhaimin2024 https://t.co/ShK7URDLxZ,netral
@nety_rusi @ganjarpranowo @mohmahfudmd Saya bukan pendukung ganjar tpi lihat Anies dan Ganjar sudah melihat dua Tokoh bangsa yg santun dan punya keluarga yg intelek dan beretika.,positif
@kompascom Prabowo dulu terlihat pintar ya karena lawannya hanya sekelas bapaknya Gibran kalo sekarang lawannya aktivis semua keringat dingin lah dia awokwokwok,netral
Konsolidasi Laskar Santri di Gresik Targetkan Anies - Gus Muhaimin Menang 60 Persen https://t.co/K8LDa0WkNY,positif
Ganjar dan Mahfud emang the real deal solusi kesehatan mental mereka kreatif dan responsif nomor darurat 24/7 buktinya! @marcelyna_sely VisiMisi GanjarMahfud https://t.co/JXZ7eja4Vw,netral
@VIVAcoid Pesan pak Jokowi gelar doa bersama untuk kemenangan Pak Prabowo dan Mas Gibran semoga doanya terkabulkan kami rakyat Indonesia juga berdoa untuk kemenangan Pak Prabowo dan Mas Gibran,positif
@gvfftj @jokowi @prabowo @gibran_tweet @siregar_najeges @Candra4smara @Gojekmilitan Janganlah hatimu kotor sampai tak melihat fakta bahwa JIS telah dibersihkan pendukung Abah Anies,netral
Manuver Gibran Sentil Cak Imin dan Mahfud di Debat Capres Dari Potong Tumpeng IKN hingga Googling #Pilpres2024 #debatcawapres #Gibran #CakImin #Muhaimin #MahfudMD https://t.co/QbSLQPh8Tp lewat @tribunkaltim,negatif
@geloraco Bs dipahami dg memposisikan sbg oposisi pemerintah Sbg antitesa jokowi Ganjar dan Prabowo dg slogan keberlanjutan tentu jadi sasaran tembak anies. Tp klo terlalu asik nyerang takutnya substansinya hilang. Walaupun cara penyampaian nya hrs diakui bagus retorikanya oke,netral
@Aryprasetyo85 @ganjarpranowo @mohmahfudmd @007koteka @03__nakula @__AnakKolong @_memoryusang @al_lasan @Marbot_Udien @GunRomli @seruanhl @serakyut @islah_bahrawi Tetap sehat semangat dan sukses selalu Pak Ganjar-Mahfud maju terus untuk Indonesia lebih maju ,positif
Dengan dedikasi dan komitmen Ganjar-Mahfud siap membangun fondasi perdagangan yang kuat dan inklusif. @winddirrection Juara ! Pasti Lebih Baik https://t.co/4Iv932NF0T,positif
@Uki23 Kalau diamati target jokowi adalah menjadikan Indonesia negara ekonomi maju dan demokrasi hrs dikompromikan. Makanya prabowo dianggap cocok ,positif
Momen Debat Kelima Pilpres 2024 Istri Anies-Muhaimin Selfie Bareng Siti Atikoh dan Puan Maharani https://t.co/2ryOhrSebp,netral
@psi_id GIBRAN Kok nggak selebrasi Tepuk Samsul lagi ya ???? ,netral
Ancen bener jare bapak karepmu milih sopo sing penting ojo Anies #Pemilu2024,netral
Disaat Capres lain datang dengan janji manis di mulut Ganjar Mahfud datang dengan gagasan hebat.Semangat terus pak ganjar GanjarHanjarKoruptorGajarSikatKoruptor yt7hOQ6Cob GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,positif
* SlepetNomic* yaitu pembangunan dikerjakan pakai hati dan pakai otak. Dalam debat capres malam ini anies bertekad memaparkan visi misi pakai hati dan pakai otak. #AMINajaDulu #AniesUnggul #PakaiOtakPakaiHati @aniesbaswedan @cakimiNOW https://t.co/NmXKJB8ZiY,netral
@blantik_pedhet2 Yg deg²an malah Prabowo krn masih ada 1x debat lagi. Mudah²an P. Anies dan P. Ganjar berbaik hati tidak bikin Prabowo nangis² sampai putaran ke 2 selesai.,netral
Ganjar-Mahfud memberikan sorotan tajam terhadap sistem perpajakan menyoroti kesulitan warga dalam memahami aturan yang kompleks. @SStwnnn44647 Juara ! Pasti Lebih Baik https://t.co/8nDQatNNrU,positif
Gibran perlu latian lagi. Ketika pertanyaannya spontan mulai glagapan. Sgt disayangkan dia pake gaya Prabowo. Coba pake gaya bapaknya aja... Mahfud MD bener2 org profesional. Ahlinya ahli. Tp pak masalah kita gak cuma hukum lo. Muhaimin? No komen. Slepet slepet!,netral
@Arie_Kriting Dia kira dia bisa beli kepercayaan org kalik yah? Mengutip pernyataan pak Ganjar pas debat jejak digital TDK akan pernah bohong .,netral
Ganjar permudah perizinan dan penggunaan sistem digitan untuk permudah nelayan https://t.co/8EMl8Hk4QQ,positif
@CuanNumbeWan @DS_yantie Pilpres 2019 lalu sama persis kejadiannya yg di coblos Jokowi amien dan ternyata pelakunya orang2nya PRABOWO dan itu jg terjadi di beberapa tmpat di Indonesia klo kk kecurangan2 itu hnya bisa kalian lakukan apa lgi ini di bantu penguasa ,netral
@bengkeldodo Begini kok bisa bangga ya goblok banget.. kalo gua di posisi pendukung 02 malah malu kalo Prabowo makan malam sama Presiden karena ada isu ketidak netralan pasti,netral
ANIS - MUHAIMIN PRESIDENKU https://t.co/rQwYujLri1,positif
