NN,JJ,VB,RB,UH,NN_percentage,JJ_percentage,VB_percentage,RB_percentage,UH_percentage
2,0,1,2,0,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285,0.0
0,0,1,0,0,0.0,0.0,0.5,0.0,0.0
5,1,0,0,0,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0
6,0,3,3,0,0.4,0.0,0.2,0.2,0.0
4,1,1,1,0,0.4,0.1,0.1,0.1,0.0
4,0,4,2,0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0
5,2,4,1,0,0.3125,0.125,0.25,0.0625,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
5,1,3,1,0,0.25,0.05,0.15,0.05,0.0
4,2,4,2,0,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.09523809523809523,0.0
7,1,7,3,0,0.2413793103448276,0.034482758620689655,0.2413793103448276,0.10344827586206896,0.0
4,0,1,1,0,0.36363636363636365,0.0,0.09090909090909091,0.09090909090909091,0.0
5,0,1,2,0,0.25,0.0,0.05,0.1,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,2,1,0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0
0,0,1,0,0,0.0,0.0,0.14285714285714285,0.0,0.0
11,1,8,4,0,0.3142857142857143,0.02857142857142857,0.22857142857142856,0.11428571428571428,0.0
3,0,3,0,0,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0
6,1,4,3,0,0.3157894736842105,0.05263157894736842,0.21052631578947367,0.15789473684210525,0.0
7,1,3,0,0,0.4117647058823529,0.058823529411764705,0.17647058823529413,0.0,0.0
4,0,2,0,0,0.11428571428571428,0.0,0.05714285714285714,0.0,0.0
1,0,1,0,0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0
5,2,4,1,0,0.17857142857142858,0.07142857142857142,0.14285714285714285,0.03571428571428571,0.0
11,0,4,2,0,0.34375,0.0,0.125,0.0625,0.0
1,0,2,0,0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0
2,2,5,6,0,0.07407407407407407,0.07407407407407407,0.18518518518518517,0.2222222222222222,0.0
0,1,0,1,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
2,0,2,2,0,0.25,0.0,0.25,0.25,0.0
4,2,3,1,0,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.0
3,0,4,0,0,0.25,0.0,0.3333333333333333,0.0,0.0
4,1,1,1,0,0.4,0.1,0.1,0.1,0.0
15,2,10,2,0,0.3488372093023256,0.046511627906976744,0.23255813953488372,0.046511627906976744,0.0
9,1,2,0,0,0.5625,0.0625,0.125,0.0,0.0
7,1,2,0,0,0.3684210526315789,0.05263157894736842,0.10526315789473684,0.0,0.0
13,0,2,2,0,0.37142857142857144,0.0,0.05714285714285714,0.05714285714285714,0.0
0,1,0,1,0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0
1,0,1,0,0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0
5,4,3,3,0,0.13157894736842105,0.10526315789473684,0.07894736842105263,0.07894736842105263,0.0
7,0,4,0,0,0.3333333333333333,0.0,0.19047619047619047,0.0,0.0
5,1,3,0,0,0.29411764705882354,0.058823529411764705,0.17647058823529413,0.0,0.0
1,0,2,1,0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0
13,3,3,3,0,0.3611111111111111,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
4,2,2,0,0,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.0,0.0
2,0,0,0,0,0.2857142857142857,0.0,0.0,0.0,0.0
2,0,1,0,0,0.5,0.0,0.25,0.0,0.0
5,1,5,1,0,0.22727272727272727,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.0
12,3,6,2,0,0.2926829268292683,0.07317073170731707,0.14634146341463414,0.04878048780487805,0.0
1,0,1,0,0,0.25,0.0,0.25,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,1,3,1,0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0
7,1,4,1,0,0.3333333333333333,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.0
2,0,0,0,0,0.5,0.0,0.0,0.0,0.0
4,0,3,1,0,0.15384615384615385,0.0,0.11538461538461539,0.038461538461538464,0.0
6,1,3,1,0,0.24,0.04,0.12,0.04,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,1,1,0,0,0.3,0.1,0.1,0.0,0.0
5,1,3,4,0,0.2631578947368421,0.05263157894736842,0.15789473684210525,0.21052631578947367,0.0
8,5,1,3,0,0.1951219512195122,0.12195121951219512,0.024390243902439025,0.07317073170731707,0.0
5,1,1,0,0,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0
2,0,2,0,0,0.25,0.0,0.25,0.0,0.0
2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3,2,4,1,0,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.0
9,1,6,4,0,0.225,0.025,0.15,0.1,0.0
7,3,4,3,0,0.3181818181818182,0.13636363636363635,0.18181818181818182,0.13636363636363635,0.0
0,0,0,1,0,0.0,0.0,0.0,0.2,0.0
3,1,2,1,0,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0
15,0,6,2,0,0.46875,0.0,0.1875,0.0625,0.0
8,0,4,1,0,0.25,0.0,0.125,0.03125,0.0
9,0,5,0,0,0.391304347826087,0.0,0.21739130434782608,0.0,0.0
8,0,6,1,0,0.25806451612903225,0.0,0.1935483870967742,0.03225806451612903,0.0
5,1,5,1,0,0.25,0.05,0.25,0.05,0.0
1,0,1,1,0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0
1,0,2,2,0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0
1,0,1,0,0,0.2,0.0,0.2,0.0,0.0
4,0,3,0,0,0.14814814814814814,0.0,0.1111111111111111,0.0,0.0
7,1,1,0,0,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8,0,3,0,0,0.32,0.0,0.12,0.0,0.0
4,0,3,1,0,0.4444444444444444,0.0,0.3333333333333333,0.1111111111111111,0.0
1,1,1,0,0,0.25,0.25,0.25,0.0,0.0
0,1,0,1,0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
1,1,1,2,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0
2,0,2,2,0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0
0,0,4,0,0,0.0,0.0,0.8,0.0,0.0
5,1,2,0,0,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.0,0.0
1,1,1,1,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0
3,1,1,1,0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
5,2,5,0,0,0.19230769230769232,0.07692307692307693,0.19230769230769232,0.0,0.0
15,1,7,3,0,0.36585365853658536,0.024390243902439025,0.17073170731707318,0.07317073170731707,0.0
4,2,2,1,0,0.2,0.1,0.1,0.05,0.0
9,2,4,1,0,0.225,0.05,0.1,0.025,0.0
0,0,2,1,0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
3,0,4,0,0,0.10714285714285714,0.0,0.14285714285714285,0.0,0.0
4,0,2,1,0,0.4,0.0,0.2,0.1,0.0
8,0,6,2,0,0.21052631578947367,0.0,0.15789473684210525,0.05263157894736842,0.0
5,1,3,1,0,0.23809523809523808,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,0,1,1,0,0.25,0.0,0.08333333333333333,0.08333333333333333,0.0
20,2,8,3,0,0.39215686274509803,0.0392156862745098,0.1568627450980392,0.058823529411764705,0.0
4,0,2,0,0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0
3,1,3,2,0,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.0
11,1,3,1,0,0.5,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.0
5,0,1,0,0,0.4166666666666667,0.0,0.08333333333333333,0.0,0.0
6,0,1,1,0,0.5454545454545454,0.0,0.09090909090909091,0.09090909090909091,0.0
0,1,1,1,0,0.0,0.25,0.25,0.25,0.0
1,0,2,0,0,0.1,0.0,0.2,0.0,0.0
2,0,3,0,0,0.3333333333333333,0.0,0.5,0.0,0.0
0,1,0,1,0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0
5,0,3,0,0,0.29411764705882354,0.0,0.17647058823529413,0.0,0.0
3,1,6,3,0,0.13043478260869565,0.043478260869565216,0.2608695652173913,0.13043478260869565,0.0
6,0,1,2,0,0.4,0.0,0.06666666666666667,0.13333333333333333,0.0
4,1,4,5,0,0.19047619047619047,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.0
2,2,4,1,1,0.08695652173913043,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.043478260869565216
4,0,3,0,0,0.12903225806451613,0.0,0.0967741935483871,0.0,0.0
4,0,6,0,0,0.17391304347826086,0.0,0.2608695652173913,0.0,0.0
8,0,3,2,0,0.38095238095238093,0.0,0.14285714285714285,0.09523809523809523,0.0
1,0,0,0,0,0.07692307692307693,0.0,0.0,0.0,0.0
7,2,1,1,0,0.35,0.1,0.05,0.05,0.0
6,0,3,2,0,0.21428571428571427,0.0,0.10714285714285714,0.07142857142857142,0.0
3,0,3,0,0,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0
0,0,1,0,0,0.0,0.0,0.058823529411764705,0.0,0.0
8,2,6,5,0,0.21052631578947367,0.05263157894736842,0.15789473684210525,0.13157894736842105,0.0
2,2,1,4,0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.0
4,1,2,0,0,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.0,0.0
6,1,5,0,0,0.3333333333333333,0.05555555555555555,0.2777777777777778,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,2,1,0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0
2,1,0,0,0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0
8,1,4,1,0,0.2857142857142857,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.0
10,0,7,0,0,0.4,0.0,0.28,0.0,0.0
5,3,3,0,0,0.16666666666666666,0.1,0.1,0.0,0.0
6,1,3,0,0,0.3,0.05,0.15,0.0,0.0
8,2,7,1,0,0.1951219512195122,0.04878048780487805,0.17073170731707318,0.024390243902439025,0.0
8,0,4,0,0,0.36363636363636365,0.0,0.18181818181818182,0.0,0.0
6,1,1,0,0,0.6,0.1,0.1,0.0,0.0
11,2,4,4,0,0.2682926829268293,0.04878048780487805,0.0975609756097561,0.0975609756097561,0.0
10,1,4,1,0,0.37037037037037035,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14,2,4,1,0,0.5185185185185185,0.07407407407407407,0.14814814814814814,0.037037037037037035,0.0
5,2,1,0,0,0.625,0.25,0.125,0.0,0.0
2,0,3,1,0,0.14285714285714285,0.0,0.21428571428571427,0.07142857142857142,0.0
0,1,1,0,0,0.0,0.25,0.25,0.0,0.0
6,3,3,1,0,0.4,0.2,0.2,0.06666666666666667,0.0
2,2,3,4,0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.0
7,2,6,4,0,0.1590909090909091,0.045454545454545456,0.13636363636363635,0.09090909090909091,0.0
1,0,2,1,0,0.25,0.0,0.5,0.25,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7,0,5,1,0,0.23333333333333334,0.0,0.16666666666666666,0.03333333333333333,0.0
0,1,1,2,0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0
1,0,1,0,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
6,0,3,0,0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,0,2,1,0,0.23076923076923078,0.0,0.15384615384615385,0.07692307692307693,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4,0,6,3,0,0.13793103448275862,0.0,0.20689655172413793,0.10344827586206896,0.0
1,1,1,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0
6,0,2,0,0,0.3157894736842105,0.0,0.10526315789473684,0.0,0.0
3,1,2,0,0,0.3,0.1,0.2,0.0,0.0
5,0,1,0,0,0.625,0.0,0.125,0.0,0.0
7,2,8,3,0,0.1590909090909091,0.045454545454545456,0.18181818181818182,0.06818181818181818,0.0
5,1,4,0,0,0.25,0.05,0.2,0.0,0.0
4,0,1,0,0,0.21052631578947367,0.0,0.05263157894736842,0.0,0.0
5,0,2,1,0,0.4166666666666667,0.0,0.16666666666666666,0.08333333333333333,0.0
8,0,4,0,0,0.38095238095238093,0.0,0.19047619047619047,0.0,0.0
2,1,1,1,0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
3,0,1,2,0,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.0
3,3,3,1,0,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.0
8,1,2,1,0,0.2857142857142857,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.0
13,1,7,3,0,0.29545454545454547,0.022727272727272728,0.1590909090909091,0.06818181818181818,0.0
7,0,3,3,0,0.25,0.0,0.10714285714285714,0.10714285714285714,0.0
10,0,3,0,0,0.5263157894736842,0.0,0.15789473684210525,0.0,0.0
3,1,2,0,0,0.1875,0.0625,0.125,0.0,0.0
3,0,3,1,0,0.21428571428571427,0.0,0.21428571428571427,0.07142857142857142,0.0
5,0,1,0,0,0.35714285714285715,0.0,0.07142857142857142,0.0,0.0
4,2,1,2,0,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.0
5,0,6,1,0,0.21739130434782608,0.0,0.2608695652173913,0.043478260869565216,0.0
1,0,0,0,0,0.08333333333333333,0.0,0.0,0.0,0.0
11,2,6,2,0,0.2972972972972973,0.05405405405405406,0.16216216216216217,0.05405405405405406,0.0
3,3,2,1,0,0.3,0.3,0.2,0.1,0.0
2,2,2,3,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.0
9,5,15,6,1,0.13432835820895522,0.07462686567164178,0.22388059701492538,0.08955223880597014,0.014925373134328358
6,0,2,3,0,0.375,0.0,0.125,0.1875,0.0
2,0,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.0
1,1,2,2,0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0
0,0,1,1,0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0
4,1,7,1,0,0.16,0.04,0.28,0.04,0.0
6,1,5,0,0,0.23076923076923078,0.038461538461538464,0.19230769230769232,0.0,0.0
1,2,1,1,0,0.2,0.4,0.2,0.2,0.0
3,1,3,0,0,0.375,0.125,0.375,0.0,0.0
1,1,0,1,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
0,0,0,1,0,0.0,0.0,0.0,0.25,0.0
12,1,9,3,0,0.24489795918367346,0.02040816326530612,0.1836734693877551,0.061224489795918366,0.0
6,1,5,1,0,0.24,0.04,0.2,0.04,0.0
6,1,2,3,0,0.42857142857142855,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.0
1,0,0,0,0,0.09090909090909091,0.0,0.0,0.0,0.0
4,2,4,1,0,0.19047619047619047,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.0
6,0,1,0,0,0.375,0.0,0.0625,0.0,0.0
1,0,2,0,0,0.2,0.0,0.4,0.0,0.0
5,1,2,1,0,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0
8,0,5,1,0,0.3333333333333333,0.0,0.20833333333333334,0.041666666666666664,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
9,1,6,0,0,0.2571428571428571,0.02857142857142857,0.17142857142857143,0.0,0.0
8,1,3,0,0,0.36363636363636365,0.045454545454545456,0.13636363636363635,0.0,0.0
7,0,2,0,0,0.4666666666666667,0.0,0.13333333333333333,0.0,0.0
4,1,3,1,0,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0
2,0,0,0,0,0.5,0.0,0.0,0.0,0.0
2,1,4,1,0,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0
5,0,2,0,0,0.38461538461538464,0.0,0.15384615384615385,0.0,0.0
7,1,4,0,0,0.3888888888888889,0.05555555555555555,0.2222222222222222,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4,1,2,3,0,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.0
5,0,1,0,0,0.45454545454545453,0.0,0.09090909090909091,0.0,0.0
7,0,4,3,0,0.2692307692307692,0.0,0.15384615384615385,0.11538461538461539,0.0
6,2,3,2,0,0.1935483870967742,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.0
3,0,1,0,0,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0
3,0,1,0,0,0.5,0.0,0.16666666666666666,0.0,0.0
4,0,5,0,0,0.2222222222222222,0.0,0.2777777777777778,0.0,0.0
0,0,2,0,0,0.0,0.0,0.3333333333333333,0.0,0.0
1,1,1,1,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
0,0,1,0,0,0.0,0.0,0.16666666666666666,0.0,0.0
5,2,1,0,0,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0
0,0,1,0,0,0.0,0.0,0.05555555555555555,0.0,0.0
4,0,3,2,0,0.21052631578947367,0.0,0.15789473684210525,0.10526315789473684,0.0
5,0,5,1,0,0.25,0.0,0.25,0.05,0.0
2,0,1,0,0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0
1,1,1,0,0,0.125,0.125,0.125,0.0,0.0
2,0,2,0,0,0.06451612903225806,0.0,0.06451612903225806,0.0,0.0
8,3,3,0,0,0.3333333333333333,0.125,0.125,0.0,0.0
4,0,2,1,0,0.16,0.0,0.08,0.04,0.0
1,0,1,0,0,0.125,0.0,0.125,0.0,0.0
9,4,3,5,0,0.225,0.1,0.075,0.125,0.0
3,3,2,0,0,0.25,0.25,0.16666666666666666,0.0,0.0
1,0,2,0,0,0.125,0.0,0.25,0.0,0.0
6,0,6,0,0,0.25,0.0,0.25,0.0,0.0
9,1,2,1,0,0.5,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.0
0,0,0,1,0,0.0,0.0,0.0,0.09090909090909091,0.0
10,4,2,3,0,0.30303030303030304,0.12121212121212122,0.06060606060606061,0.09090909090909091,0.0
13,0,6,2,0,0.3611111111111111,0.0,0.16666666666666666,0.05555555555555555,0.0
3,1,1,0,0,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.0,0.0
0,0,0,1,0,0.0,0.0,0.0,0.2,0.0
6,1,1,1,0,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0
4,1,2,0,0,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.0,0.0
6,1,4,1,0,0.2727272727272727,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.0
2,0,2,1,0,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.0
5,2,5,2,0,0.18518518518518517,0.07407407407407407,0.18518518518518517,0.07407407407407407,0.0
3,2,3,3,0,0.15,0.1,0.15,0.15,0.0
8,0,4,3,0,0.32,0.0,0.16,0.12,0.0
5,1,5,3,0,0.14705882352941177,0.029411764705882353,0.14705882352941177,0.08823529411764706,0.0
6,1,0,0,0,0.6,0.1,0.0,0.0,0.0
2,1,2,1,0,0.25,0.125,0.25,0.125,0.0
3,2,3,3,0,0.12,0.08,0.12,0.12,0.0
11,1,5,1,0,0.4074074074074074,0.037037037037037035,0.18518518518518517,0.037037037037037035,0.0
6,1,3,2,0,0.3157894736842105,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.0
4,1,1,0,0,0.4,0.1,0.1,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
10,1,8,3,0,0.25,0.025,0.2,0.075,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1,1,0,3,0,0.125,0.125,0.0,0.375,0.0
2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6,0,4,0,0,0.3,0.0,0.2,0.0,0.0
0,1,3,2,0,0.0,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.0
7,0,3,1,0,0.3888888888888889,0.0,0.16666666666666666,0.05555555555555555,0.0
11,2,3,2,0,0.39285714285714285,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
10,1,3,1,0,0.5263157894736842,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,1,2,0,0,0.1875,0.0625,0.125,0.0,0.0
4,1,8,2,0,0.14814814814814814,0.037037037037037035,0.2962962962962963,0.07407407407407407,0.0
6,0,2,0,0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0
2,0,2,1,0,0.125,0.0,0.125,0.0625,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.0
7,1,5,1,0,0.25,0.03571428571428571,0.17857142857142858,0.03571428571428571,0.0
1,1,1,1,0,0.2,0.2,0.2,0.2,0.0
1,0,3,3,0,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.0
3,0,1,0,0,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0
9,0,2,0,0,0.5625,0.0,0.125,0.0,0.0
2,2,1,3,0,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.0
3,0,3,0,0,0.375,0.0,0.375,0.0,0.0
1,0,3,0,0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0
0,0,0,1,0,0.0,0.0,0.0,0.16666666666666666,0.0
5,1,3,1,0,0.2777777777777778,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0
10,3,4,2,0,0.3125,0.09375,0.125,0.0625,0.0
1,1,2,1,0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0
3,0,1,0,0,0.375,0.0,0.125,0.0,0.0
2,0,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.0
4,0,1,1,0,0.23529411764705882,0.0,0.058823529411764705,0.058823529411764705,0.0
15,0,7,4,0,0.36585365853658536,0.0,0.17073170731707318,0.0975609756097561,0.0
9,3,7,1,0,0.24324324324324326,0.08108108108108109,0.1891891891891892,0.02702702702702703,0.0
1,0,1,0,0,0.0625,0.0,0.0625,0.0,0.0
2,1,3,2,0,0.125,0.0625,0.1875,0.125,0.0
5,1,2,2,0,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0
0,0,1,0,0,0.0,0.0,0.058823529411764705,0.0,0.0
2,2,3,0,0,0.13333333333333333,0.13333333333333333,0.2,0.0,0.0
5,3,3,0,0,0.20833333333333334,0.125,0.125,0.0,0.0
1,0,2,1,0,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.0
10,6,5,4,0,0.21739130434782608,0.13043478260869565,0.10869565217391304,0.08695652173913043,0.0
1,0,0,0,0,0.07692307692307693,0.0,0.0,0.0,0.0
6,0,6,2,0,0.3,0.0,0.3,0.1,0.0
16,0,4,2,0,0.3902439024390244,0.0,0.0975609756097561,0.04878048780487805,0.0
0,0,1,1,0,0.0,0.0,0.2,0.2,0.0
11,4,7,2,0,0.2682926829268293,0.0975609756097561,0.17073170731707318,0.04878048780487805,0.0
7,0,3,0,0,0.3181818181818182,0.0,0.13636363636363635,0.0,0.0
3,0,3,2,0,0.15789473684210525,0.0,0.15789473684210525,0.10526315789473684,0.0
0,0,1,1,0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0
6,0,2,0,0,0.46153846153846156,0.0,0.15384615384615385,0.0,0.0
0,0,1,0,0,0.0,0.0,0.1111111111111111,0.0,0.0
4,1,1,0,0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0
0,0,2,3,0,0.0,0.0,0.16666666666666666,0.25,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,1,2,1,0,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0
4,3,3,1,0,0.2,0.15,0.15,0.05,0.0
6,0,2,2,0,0.3157894736842105,0.0,0.10526315789473684,0.10526315789473684,0.0
14,2,7,0,0,0.3333333333333333,0.047619047619047616,0.16666666666666666,0.0,0.0
1,0,2,0,0,0.25,0.0,0.5,0.0,0.0
8,1,6,1,0,0.3333333333333333,0.041666666666666664,0.25,0.041666666666666664,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,1,3,0,0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8,0,4,0,0,0.26666666666666666,0.0,0.13333333333333333,0.0,0.0
1,0,1,0,0,0.25,0.0,0.25,0.0,0.0
